time,open,high,low,close,Resistance Zone - 1 - High,Resistance Zone - 1 - Low,Support Zone - 1 - High,Support Zone - 1 - Low,Supply Demand - 1 - High,Supply Demand - 1 - Low,Resistance Zone - 2 - High,Resistance Zone - 2 - Low,Support Zone - 2 - High,Support Zone - 2 - Low,Supply Demand - 2 - High,Supply Demand - 2 - Low,Resistance Zone - 3 - High,Resistance Zone - 3 - Low,Support Zone - 3 - High,Support Zone - 3 - Low,Supply Demand - 3 - High,Supply Demand - 3 - Low,Resistance Zone - 4 - High,Resistance Zone - 4 - Low,Support Zone - 4 - High,Support Zone - 4 - Low,Supply Demand - 4 - High,Supply Demand - 4 - Low,Plot,Plot,Plot,Plot,Plot,Plot,Plot,Plot,Plot,Plot
2016-01-21,26361,26507,26151,26190,NaN,NaN,NaN,NaN,NaN,NaN,27833,27213,24835,24565,27833,27213,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5,10,15,20,25,30,35,40,45,50
2016-01-22,26281,26282,26100,26160,NaN,NaN,NaN,NaN,NaN,NaN,27833,27213,24835,24565,27833,27213,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5,10,15,20,25,30,35,40,45,50
2016-01-25,26247,26442,26206,26387,NaN,NaN,NaN,NaN,NaN,NaN,27833,27213,24835,24565,27833,27213,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5,10,15,20,25,30,35,40,45,50
2016-01-27,26450,26809,26450,26749,NaN,NaN,NaN,NaN,NaN,NaN,27833,27213,24835,24565,27833,27213,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5,10,15,20,25,30,35,40,45,50
2016-01-28,26844,26867,26600,26710,NaN,NaN,NaN,NaN,NaN,NaN,27833,27213,24835,24565,27833,27213,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5,10,15,20,25,30,35,40,45,50
2016-01-29,26665,26695,26485,26638,NaN,NaN,NaN,NaN,NaN,NaN,27833,27213,24835,24565,27833,27213,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5,10,15,20,25,30,35,40,45,50
2016-02-01,26700,26883,26617,26782,NaN,NaN,NaN,NaN,NaN,NaN,27833,27213,24835,24565,27833,27213,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5,10,15,20,25,30,35,40,45,50
2016-02-02,26931,27087,26886,26963,NaN,NaN,NaN,NaN,NaN,NaN,27833,27213,24835,24565,27833,27213,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5,10,15,20,25,30,35,40,45,50
2016-02-03,27022,27307,26970,27265,NaN,NaN,NaN,NaN,NaN,NaN,27833,27213,24835,24565,27833,27213,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5,10,15,20,25,30,35,40,45,50
2016-02-04,27215,27444,27191,27422,NaN,NaN,NaN,NaN,NaN,NaN,27833,27213,24835,24565,27833,27213,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5,10,15,20,25,30,35,40,45,50
2016-02-05,27463,27576,27252,27524,NaN,NaN,NaN,NaN,NaN,NaN,27576,27252,24835,24565,27576,27252,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5,10,15,20,25,30,35,40,45,50
2016-02-08,27578,28527,27578,28458,NaN,NaN,NaN,NaN,NaN,NaN,28527,27578,24835,24565,28527,27578,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5,10,15,20,25,30,35,40,45,50
2016-02-09,28421,28507,28190,28437,NaN,NaN,NaN,NaN,NaN,NaN,28507,28190,24835,24565,28507,28190,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5,10,15,20,25,30,35,40,45,50
2016-02-10,28350,28350,28025,28317,NaN,NaN,NaN,NaN,NaN,NaN,28350,28025,24835,24565,28350,28025,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5,10,15,20,25,30,35,40,45,50
2016-02-11,28350,30095,28350,29791,NaN,NaN,NaN,NaN,NaN,NaN,30095,28350,24835,24565,30095,28350,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5,10,15,20,25,30,35,40,45,50
2016-02-12,29600,29805,29340,29386,NaN,NaN,NaN,NaN,NaN,NaN,29805,29340,24835,24565,29805,29340,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5,10,15,20,25,30,35,40,45,50
2016-02-15,29302,29302,28613,28690,NaN,NaN,NaN,NaN,NaN,NaN,29805,29340,24835,24565,29805,29340,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5,10,15,20,25,30,35,40,45,50
2016-02-16,28610,29075,28425,28899,NaN,NaN,NaN,NaN,NaN,NaN,29805,29340,24835,24565,29805,29340,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5,10,15,20,25,30,35,40,45,50
2016-02-17,28953,29050,28731,28888,NaN,NaN,NaN,NaN,NaN,NaN,29805,29340,24835,24565,29805,29340,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5,10,15,20,25,30,35,40,45,50
2016-02-18,28888,29369,28707,29309,NaN,NaN,NaN,NaN,NaN,NaN,29805,29340,24835,24565,29805,29340,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5,10,15,20,25,30,35,40,45,50
2016-02-19,29386,29638,29290,29515,NaN,NaN,NaN,NaN,NaN,NaN,29805,29340,24835,24565,29805,29340,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5,10,15,20,25,30,35,40,45,50
2016-02-22,29101,29165,28801,28966,NaN,NaN,NaN,NaN,NaN,NaN,29805,29340,24835,24565,29805,29340,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5,10,15,20,25,30,35,40,45,50
2016-02-23,29000,29397,29000,29302,NaN,NaN,NaN,NaN,NaN,NaN,29805,29340,24835,24565,29805,29340,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5,10,15,20,25,30,35,40,45,50
2016-02-24,29403,29936,29241,29554,NaN,NaN,NaN,NaN,NaN,NaN,29805,29340,24835,24565,29805,29340,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5,10,15,20,25,30,35,40,45,50
2016-02-25,29475,29820,29394,29774,NaN,NaN,NaN,NaN,NaN,NaN,29805,29340,24835,24565,29805,29340,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5,10,15,20,25,30,35,40,45,50
2016-02-26,29650,29729,29152,29337,NaN,NaN,NaN,NaN,NaN,NaN,29805,29340,24835,24565,29805,29340,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5,10,15,20,25,30,35,40,45,50
2016-02-29,29409,29750,29381,29513,NaN,NaN,NaN,NaN,NaN,NaN,29805,29340,24835,24565,29805,29340,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5,10,15,20,25,30,35,40,45,50
2016-03-01,29650,29838,29186,29226,NaN,NaN,NaN,NaN,NaN,NaN,29805,29340,24835,24565,29805,29340,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5,10,15,20,25,30,35,40,45,50
2016-03-02,29199,29391,29079,29339,NaN,NaN,NaN,NaN,NaN,NaN,29805,29340,24835,24565,29805,29340,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5,10,15,20,25,30,35,40,45,50
2016-03-03,29275,29681,29245,29616,NaN,NaN,NaN,NaN,NaN,NaN,29805,29340,24835,24565,29805,29340,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5,10,15,20,25,30,35,40,45,50
2016-03-04,29700,30040,29413,29766,NaN,NaN,NaN,NaN,NaN,NaN,29805,29340,24835,24565,29805,29340,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5,10,15,20,25,30,35,40,45,50
2016-03-07,29850,29965,29544,29592,NaN,NaN,NaN,NaN,NaN,NaN,29805,29340,24835,24565,29805,29340,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5,10,15,20,25,30,35,40,45,50
2016-03-08,29650,30161,29650,29809,NaN,NaN,NaN,NaN,NaN,NaN,29805,29340,24835,24565,29805,29340,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5,10,15,20,25,30,35,40,45,50
2016-03-09,29666,29718,29301,29598,NaN,NaN,NaN,NaN,NaN,NaN,29805,29340,24835,24565,29805,29340,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5,10,15,20,25,30,35,40,45,50
2016-03-10,29550,29961,29065,29931,NaN,NaN,NaN,NaN,NaN,NaN,29805,29340,24835,24565,29805,29340,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5,10,15,20,25,30,35,40,45,50
2016-03-11,29850,29923,29462,29500,NaN,NaN,NaN,NaN,NaN,NaN,29805,29340,24835,24565,29805,29340,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5,10,15,20,25,30,35,40,45,50
2016-03-14,29398,29577,29126,29187,NaN,NaN,NaN,NaN,NaN,NaN,29805,29340,24835,24565,29805,29340,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5,10,15,20,25,30,35,40,45,50
2016-03-15,29125,29200,28872,29037,NaN,NaN,NaN,NaN,NaN,NaN,29805,29340,24835,24565,29805,29340,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5,10,15,20,25,30,35,40,45,50
2016-03-16,29051,29145,28923,28966,NaN,NaN,NaN,NaN,NaN,NaN,29805,29340,24835,24565,29805,29340,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5,10,15,20,25,30,35,40,45,50
2016-03-17,29185,29600,29185,29356,NaN,NaN,NaN,NaN,NaN,NaN,29805,29340,24835,24565,29805,29340,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5,10,15,20,25,30,35,40,45,50
2016-03-18,29399,29450,29003,29131,NaN,NaN,NaN,NaN,NaN,NaN,29805,29340,24835,24565,29805,29340,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5,10,15,20,25,30,35,40,45,50
2016-03-21,29100,29114,28820,28941,NaN,NaN,NaN,NaN,NaN,NaN,29805,29340,24835,24565,29805,29340,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5,10,15,20,25,30,35,40,45,50
2016-03-22,28961,29340,28891,29049,NaN,NaN,NaN,NaN,NaN,NaN,29805,29340,24835,24565,29805,29340,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5,10,15,20,25,30,35,40,45,50
2016-03-23,29000,29000,28512,28604,NaN,NaN,NaN,NaN,NaN,NaN,29805,29340,24835,24565,29805,29340,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5,10,15,20,25,30,35,40,45,50
2016-03-24,28500,28665,28450,28599,NaN,NaN,NaN,NaN,NaN,NaN,29805,29340,24835,24565,29805,29340,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5,10,15,20,25,30,35,40,45,50
2016-03-28,28525,28525,28270,28458,NaN,NaN,NaN,NaN,NaN,NaN,29805,29340,24835,24565,29805,29340,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5,10,15,20,25,30,35,40,45,50
2016-03-29,28389,28782,28341,28743,NaN,NaN,NaN,NaN,NaN,NaN,29805,29340,24835,24565,29805,29340,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5,10,15,20,25,30,35,40,45,50
2016-03-30,28655,28830,28361,28407,NaN,NaN,NaN,NaN,NaN,NaN,29805,29340,24835,24565,29805,29340,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5,10,15,20,25,30,35,40,45,50
